31
18
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;2;2;2;2;2;;;;;;;;;;;;;;;;;;
;;;;;;2;2;2;;2;2;2;2;;;;;;;;;;;;;;;;;;
;;;;;;;;2;2;;;;;;;;;2;2;;;;;;;;;;;;
;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
;;;2;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
;;;2;2;;;;;;;;;;2;;;2;2;;;;;;;;;;;;;
;;;;2;2;;;;;;;;;;;;;;2;;;;;2;2;2;2;;;;
;;;;;2;2;;;;;;;;;;;;;;2;;;2;2;2;2;2;2;;;
;;;;;;2;2;;;;;;2;;;;;;;2;;;2;;;;2;2;;;
;;;;;;;;2;2;2;2;2;2;;;;2;;2;2;2;2;2;;;;2;2;;;
;;;;;;;;;;;;;2;2;2;2;2;2;2;;;;;;;;2;2;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
